"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Gm26901","GSM2545344",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102632124","predicted gene, 26901, transcript variant X6","ENSMUSG00000097797",NA,"1","lncRNA",NA,NA
"Sntg1","GSM2545344",382,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","71096","syntrophin, gamma 1, transcript variant X2","ENSMUSG00000025909","G1SYN","1","protein_coding",NA,"SNTG1"
"Gm6187","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","620853",NA,"ENSMUSG00000101571",NA,"1","processed_pseudogene",NA,NA
"Rrs1","GSM2545344",649,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","59014","RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)","ENSMUSG00000061024","5730466A07Rik","1","protein_coding","decreased grip strength","RRS1"
"Mcmdc2","GSM2545344",43,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","240697","minichromosome maintenance domain containing 2, transcript variant X6","ENSMUSG00000046101","6030422M02Rik","1","protein_coding","abnormal double-strand DNA break repair","MCMDC2"
"Snhg6","GSM2545344",208,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","73824","small nucleolar RNA host gene 6","ENSMUSG00000098234","1110008H02Rik","1","lncRNA",NA,NA
"Snord87","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","266793","small nucleolar RNA, C/D box 87","ENSMUSG00000093178","MBII-276","1","snoRNA",NA,"SNORD87"
"Tcf24","GSM2545344",9,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100039596","transcription factor 24, transcript variant X2","ENSMUSG00000099032",NA,"1","protein_coding",NA,"TCF24"
"Ppp1r42","GSM2545344",19,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","69312","protein phosphatase 1, regulatory subunit 42, transcript variant 2","ENSMUSG00000025916","1700011J18Rik","1","protein_coding","vertebral fusion","PPP1R42"
"Arfgef1","GSM2545344",5904,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","211673","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)","ENSMUSG00000067851","ARFGEP1","1","protein_coding","abnormal axon extension","ARFGEF1"
"Cpa6","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","329093","carboxypeptidase A6, transcript variant X1","ENSMUSG00000042501","9030616D13Rik","1","protein_coding",NA,"CPA6"
"Ncoa2","GSM2545344",4776,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","17978","nuclear receptor coactivator 2, transcript variant a","ENSMUSG00000005886","bHLHe75","1","protein_coding","abnormal body wall morphology","NCOA2"
"Tram1","GSM2545344",1617,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","72265","translocating chain-associating membrane protein 1","ENSMUSG00000025935","1810049E02Rik","1","protein_coding",NA,"TRAM1"
"Gm5523","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","433273","predicted pseudogene 5523","ENSMUSG00000097711",NA,"1","processed_pseudogene",NA,NA
"Eya1","GSM2545344",331,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","14048","eyes absent 1 homolog (Drosophila), transcript variant X6","ENSMUSG00000025932","bor","1","protein_coding","abnormal aortic arch morphology","EYA1"
"Smt3h2-ps4","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","114607",NA,"ENSMUSG00000081201",NA,"1","processed_pseudogene",NA,NA
"Trpa1","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","277328","transient receptor potential cation channel, subfamily A, member 1","ENSMUSG00000032769","ANKTM1","1","protein_coding","abnormal cornea morphology","TRPA1"
"Gm10566","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100039959",NA,"ENSMUSG00000073737",NA,"1","processed_pseudogene",NA,NA
"Terf1","GSM2545344",649,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","21749","telomeric repeat binding factor 1, transcript variant X1","ENSMUSG00000025925","Pin2","1","protein_coding","abnormal ectoplacental cone morphology","TERF1"
"Rdh10","GSM2545344",780,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","98711","retinol dehydrogenase 10 (all-trans), transcript variant X1","ENSMUSG00000025921","3110069K09Rik","1","protein_coding","abnormal autopod morphology","RDH10"
"Stau2","GSM2545344",3462,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","29819","staufen (RNA binding protein) homolog 2 (Drosophila), transcript variant X1","ENSMUSG00000025920",NA,"1","protein_coding","decreased bone mineral content","STAU2"
"Ly96","GSM2545344",35,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","17087","lymphocyte antigen 96, transcript variant X1","ENSMUSG00000025779","ESOP-1","1","protein_coding","abnormal immune cell physiology","LY96"
"Jph1","GSM2545344",1228,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","57339","junctophilin 1, transcript variant X4","ENSMUSG00000042686","ENSMUSG00000054314","1","protein_coding","abnormal sarcoplasmic reticulum morphology","JPH1"
"Gdap1","GSM2545344",5679,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","14545","ganglioside-induced differentiation-associated-protein 1","ENSMUSG00000025777",NA,"1","protein_coding","abnormal adrenal gland morphology","GDAP1"
"Rbm6-ps1","GSM2545344",10,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","108212",NA,"ENSMUSG00000101589",NA,"1","processed_pseudogene",NA,NA
"Pi15","GSM2545344",31,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","94227","peptidase inhibitor 15","ENSMUSG00000067780","P24TI","1","protein_coding",NA,"PI15"
"Gm28154","GSM2545344",18,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102634738","predicted gene 28154, transcript variant X5","ENSMUSG00000100053",NA,"1","lncRNA",NA,NA
"Gm16070","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102634913","predicted gene 16070","ENSMUSG00000085125",NA,"1","lncRNA",NA,NA
"Gm15825","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102635013","predicted gene 15825","ENSMUSG00000089787",NA,"1","lncRNA",NA,NA
"Tfap2d","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","226896","transcription factor AP-2, delta","ENSMUSG00000042596","Tcfap2d","1","protein_coding","absent inferior colliculus","TFAP2D"
"Tfap2b","GSM2545344",2039,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","21419","transcription factor AP-2 beta, transcript variant 1","ENSMUSG00000025927","AP-2(beta)","1","protein_coding","increased cardiac muscle contractility","TFAP2B"
"Pkhd1","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","241035","polycystic kidney and hepatic disease 1, transcript variant X1","ENSMUSG00000043760","FPC","1","protein_coding","abnormal bile duct development","PKHD1"
"Mir133b","GSM2545344",8,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","723817","microRNA 133b","ENSMUSG00000065480","mir 133b","1","miRNA","no abnormal phenotype detected","MIR133B"
"Il17f","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","257630","interleukin 17F, transcript variant X1","ENSMUSG00000041872",NA,"1","protein_coding","abnormal effector T cell morphology","IL17F"
"Paqr8","GSM2545344",17903,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","74229","progestin and adipoQ receptor family member VIII","ENSMUSG00000025931","1700019B16Rik","1","protein_coding","abnormal epididymis morphology","PAQR8"
"Tram2","GSM2545344",20,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","170829","translocating chain-associating membrane protein 2","ENSMUSG00000041779","C330003D03Rik","1","protein_coding","abnormal humerus morphology","TRAM2"
"Gm7658","GSM2545344",9,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","665489",NA,"ENSMUSG00000082935","D1Mgi28","1","processed_pseudogene",NA,NA
"Gm7761","GSM2545344",10,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","665731",NA,"ENSMUSG00000101468",NA,"1","processed_pseudogene",NA,NA
"Mir30c-2","GSM2545344",9,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","723964","microRNA 30c-2","ENSMUSG00000065567","mir 30c-2","1","miRNA",NA,"MIR30C2"
"Ogfrl1","GSM2545344",9872,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","70155","opioid growth factor receptor-like 1","ENSMUSG00000026158","2210417C17Rik","1","protein_coding",NA,"OGFRL1"
"Smap1","GSM2545344",2881,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","98366","small ArfGAP 1, transcript variant 3","ENSMUSG00000026155","1700056O10Rik","1","protein_coding","abnormal blood cell morphology/development","SMAP1"
"Fam135a","GSM2545344",2934,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","68187","family with sequence similarity 135, member A","ENSMUSG00000026153","4921533L14Rik","1","protein_coding",NA,"FAM135A"
"Col19a1","GSM2545344",1151,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","12823","collagen, type XIX, alpha 1, transcript variant X5","ENSMUSG00000026141",NA,"1","protein_coding","abnormal esophageal smooth muscle morphology","COL19A1"
"Lmbrd1","GSM2545344",9148,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","68421","LMBR1 domain containing 1","ENSMUSG00000073725","0910001K20Rik","1","protein_coding","abnormal embryo size","LMBRD1"
"Gm20172","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100504323","predicted gene, 20172","ENSMUSG00000104257",NA,"1","TEC",NA,NA
"Gm29214","GSM2545344",6,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102632997",NA,"ENSMUSG00000101301",NA,"1","processed_pseudogene",NA,NA
"Gm7846","GSM2545344",9,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","665903","predicted gene 7846","ENSMUSG00000086240",NA,"1","processed_pseudogene",NA,NA
"Gm5525","GSM2545344",22,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","433283",NA,"ENSMUSG00000099492",NA,"1","processed_pseudogene",NA,NA
"Phf3","GSM2545344",4463,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","213109","PHD finger protein 3, transcript variant X5","ENSMUSG00000048874","2310061N19Rik","1","protein_coding","abnormal auditory brainstem response","PHF3"
"Khdrbs2","GSM2545344",232,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","170771","KH domain containing, RNA binding, signal transduction associated 2, transcript variant X1","ENSMUSG00000026058","6330586C16Rik","1","protein_coding","abnormal autophagy","KHDRBS2"
"Gm5415","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","408191","predicted gene 5415","ENSMUSG00000091318",NA,"1","protein_coding",NA,NA
"Zfp451","GSM2545344",1284,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","98403","zinc finger protein 451, transcript variant 2","ENSMUSG00000042197","4930515K21Rik","1","protein_coding","abnormal pancreas morphology","ZNF451"
"Gm15455","GSM2545344",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","433287","predicted gene 15455","ENSMUSG00000081402",NA,"1","processed_pseudogene",NA,NA
"Bend6","GSM2545344",8169,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","320705","BEN domain containing 6, transcript variant X1","ENSMUSG00000042182","B230209C24Rik","1","protein_coding","increased heart rate","BEND6"
"Ptpn18","GSM2545344",43,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","19253","protein tyrosine phosphatase, non-receptor type 18","ENSMUSG00000026126","FLP1","1","protein_coding","preweaning lethality incomplete penetrance","PTPN18"
"Cfc1","GSM2545344",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","12627","cripto, FRL-1, cryptic family 1","ENSMUSG00000026124","b2b970Clo","1","protein_coding","abnormal aortic arch morphology","CFC1B"
"Amer3","GSM2545344",1981,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","211383","APC membrane recruitment 3, transcript variant X1","ENSMUSG00000045174","9430069J07Rik","1","protein_coding",NA,"AMER3"
"Fam168b","GSM2545344",11560,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","214469","family with sequence similarity 168, member B, transcript variant 3","ENSMUSG00000037503",NA,"1","protein_coding",NA,"FAM168B"
"Gm33222","GSM2545344",9,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102636039","predicted gene, 33222, transcript variant X1","ENSMUSG00000103708",NA,"1","lncRNA",NA,NA
"Kansl3","GSM2545344",3650,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","226976","KAT8 regulatory NSL complex subunit 3, transcript variant X4","ENSMUSG00000010453","4632411B12Rik","1","protein_coding","embryonic lethality prior to organogenesis","KANSL3"
"Fer1l5","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100534273","fer-1-like 5 (C. elegans), transcript variant X1","ENSMUSG00000037432","4930533C12Rik","1","protein_coding",NA,"FER1L5"
"Cnnm4","GSM2545344",961,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","94220","cyclin M4","ENSMUSG00000037408","5430430O18Rik","1","protein_coding","abnormal enamel mineralization","CNNM4"
"Sema4c","GSM2545344",895,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","20353","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C","ENSMUSG00000026121","M-Sema F","1","protein_coding","abnormal cerebellar granule cell migration","SEMA4C"
"Cox5b","GSM2545344",4876,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","12859","cytochrome c oxidase subunit Vb","ENSMUSG00000061518",NA,"1","protein_coding","abnormal embryonic autopod plate morphology","COX5B"
"Zap70","GSM2545344",15,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","22637","zeta-chain (TCR) associated protein kinase, transcript variant 1","ENSMUSG00000026117","Srk","1","protein_coding","abnormal CD4-positive alpha beta T cell morphology","ZAP70"
"Tmem131","GSM2545344",3624,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","56030","transmembrane protein 131","ENSMUSG00000026116","2610524E03Rik","1","protein_coding","preweaning lethality complete penetrance","TMEM131"
"Cnga3","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","12790","cyclic nucleotide gated channel alpha 3, transcript variant 1","ENSMUSG00000026114","CNG3","1","protein_coding","abnormal kidney morphology","CNGA3"
"Unc50","GSM2545344",1247,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","67387","unc-50 homolog (C. elegans), transcript variant X3","ENSMUSG00000026111","1110002A21Rik","1","protein_coding",NA,"UNC50"
"Lipt1","GSM2545344",73,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","623661","lipoyltransferase 1, transcript variant X2","ENSMUSG00000037216","EG623661","1","protein_coding","abnormal spleen morphology","LIPT1"
"Mrpl30","GSM2545344",1033,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","107734","mitochondrial ribosomal protein L30, transcript variant X2","ENSMUSG00000026087","2310001L22Rik","1","protein_coding",NA,"MRPL30"
"Lyg2","GSM2545344",15,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","332427","lysozyme G-like 2, transcript variant X1","ENSMUSG00000061584","LOC332427","1","protein_coding",NA,"LYG2"
"Txndc9","GSM2545344",1736,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","98258","thioredoxin domain containing 9","ENSMUSG00000058407","Apacd","1","protein_coding",NA,"TXNDC9"
"Eif5b","GSM2545344",4961,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","226982","eukaryotic translation initiation factor 5B, transcript variant X1","ENSMUSG00000026083","A030003E17Rik","1","protein_coding","preweaning lethality complete penetrance","EIF5B"
"Gm16150","GSM2545344",30,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102638318","predicted gene 16150, transcript variant X1","ENSMUSG00000085391",NA,"1","lncRNA",NA,NA
"Gm16152","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102638209","predicted gene 16152, transcript variant X1","ENSMUSG00000087131",NA,"1","lncRNA",NA,NA
"Pdcl3","GSM2545344",1024,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","68833","phosducin-like 3","ENSMUSG00000026078","1110061A19Rik","1","protein_coding",NA,"PDCL3"
"Rpl31","GSM2545344",2487,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","114641","ribosomal protein L31, transcript variant 1","ENSMUSG00000073702","Dts","1","protein_coding","abnormal testis morphology","RPL31"
"Tbc1d8","GSM2545344",1779,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","54610","TBC1 domain family, member 8","ENSMUSG00000003134","AD3","1","protein_coding","abnormal retina morphology","TBC1D8"
"Cnot11","GSM2545344",1262,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","52846","CCR4-NOT transcription complex, subunit 11","ENSMUSG00000003135","2410015L18Rik","1","protein_coding",NA,"CNOT11"
"Snord89","GSM2545344",16,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100217461","small nucleolar RNA, C/D box 89","ENSMUSG00000077704","MBII-289","1","snoRNA",NA,"SNORD89"
"Rnf149","GSM2545344",1000,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","67702","ring finger protein 149, transcript variant X1","ENSMUSG00000048234","1600023E10Rik","1","protein_coding",NA,"RNF149"
"Rfx8","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","619289","regulatory factor X 8, transcript variant X1","ENSMUSG00000057173","4933400N17Rik","1","protein_coding","abnormal eye anterior chamber depth","RFX8"
"Gm16894","GSM2545344",15,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100047133","predicted gene, 16894","ENSMUSG00000097899",NA,"1","lncRNA",NA,NA
"Il1rl2","GSM2545344",15,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","107527","interleukin 1 receptor-like 2, transcript variant X1","ENSMUSG00000070942",NA,"1","protein_coding","abnormal eye morphology","IL1RL2"
"Il1rl1","GSM2545344",8,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","17082","interleukin 1 receptor-like 1, transcript variant X2","ENSMUSG00000026069","DER4","1","protein_coding","abnormal T-helper 2 physiology","IL1RL1"
"Il18r1","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","16182","interleukin 18 receptor 1, transcript variant 2","ENSMUSG00000026070","Il18ralpha","1","protein_coding","abnormal T-helper 1 physiology","IL18R1"
"Slc9a4","GSM2545344",10,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","110895","solute carrier family 9 (sodium/hydrogen exchanger), member 4, transcript variant X2","ENSMUSG00000026065","D730009J23Rik","1","protein_coding","abnormal bone structure","SLC9A4"
"Mfsd9","GSM2545344",135,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","211798","major facilitator superfamily domain containing 9","ENSMUSG00000041945","4931419K03Rik","1","protein_coding",NA,"MFSD9"
"Tmem182","GSM2545344",9,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","381339","transmembrane protein 182","ENSMUSG00000079588","2310079P10Rik","1","protein_coding",NA,"TMEM182"
"Gm28175","GSM2545344",8,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102640173","predicted gene 28175, transcript variant X6","ENSMUSG00000101299",NA,"1","lncRNA",NA,NA
"Pantr1","GSM2545344",217,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","66297","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1","ENSMUSG00000060424","2610017I09Rik","1","lncRNA","no abnormal phenotype detected",NA
"Pou3f3","GSM2545344",1398,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","18993","POU domain, class 3, transcription factor 3","ENSMUSG00000045515","Brn-1","1","protein_coding","abnormal cerebral cortex morphology","POU3F3"
"Pantr2","GSM2545344",63,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","66620","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2","ENSMUSG00000097063","2610207O16Rik","1","lncRNA","abnormal barrel cortex morphology",NA
"Mrps9","GSM2545344",1108,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","69527","mitochondrial ribosomal protein S9","ENSMUSG00000060679","2310002A08Rik","1","protein_coding",NA,"MRPS9"
"Gpr45","GSM2545344",65,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","93690","G protein-coupled receptor 45","ENSMUSG00000041907","9230112G11Rik","1","protein_coding",NA,"GPR45"
"Tgfbrap1","GSM2545344",2385,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","73122","transforming growth factor, beta receptor associated protein 1, transcript variant X3","ENSMUSG00000070939","3110018K12Rik","1","protein_coding",NA,"TGFBRAP1"
"Fhl2","GSM2545344",87,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","14200","four and a half LIM domains 2, transcript variant 2","ENSMUSG00000008136","SLIM3","1","protein_coding","cardiac fibrosis","FHL2"
"Nck2","GSM2545344",695,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","17974","non-catalytic region of tyrosine kinase adaptor protein 2, transcript variant X1","ENSMUSG00000066877","4833426I10Rik","1","protein_coding","no abnormal phenotype detected","NCK2"
"Uxs1","GSM2545344",1380,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","67883","UDP-glucuronate decarboxylase 1, transcript variant X1","ENSMUSG00000057363","1600025I13Rik","1","protein_coding","abnormal humoral immune response","UXS1"
"Gm16103","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100126353",NA,"ENSMUSG00000090243",NA,"1","processed_pseudogene",NA,NA
"Tpp2","GSM2545344",2937,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","22019","tripeptidyl peptidase II, transcript variant X2","ENSMUSG00000041763","TppII","1","protein_coding","abnormal CD4-positive T cell differentiation","TPP2"
"Tex30","GSM2545344",170,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","75623","testis expressed 30, transcript variant X1","ENSMUSG00000026049","1700029F09Rik","1","protein_coding",NA,"TEX30"
"Bivm","GSM2545344",978,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","246229","basic, immunoglobulin-like variable motif containing, transcript variant X1","ENSMUSG00000041684",NA,"1","protein_coding","abnormal epidermal immune compartment","ERCC5"
"Gulp1","GSM2545344",226,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","70676","GULP, engulfment adaptor PTB domain containing 1, transcript variant X1","ENSMUSG00000056870","3110030A04Rik","1","protein_coding","shortened RR interval","GULP1"
"Wdr75","GSM2545344",1087,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","73674","WD repeat domain 75, transcript variant X2","ENSMUSG00000025995","1300003A18Rik","1","protein_coding",NA,"WDR75"
"Dnah7b","GSM2545344",705,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","227058","dynein, axonemal, heavy chain 7B, transcript variant X5","ENSMUSG00000041144","Dnahc7b","1","protein_coding",NA,"DNAH7"
"Gm4852","GSM2545344",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","227061",NA,"ENSMUSG00000081185",NA,"1","processed_pseudogene",NA,NA
"Gm8337","GSM2545344",17,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","666869",NA,"ENSMUSG00000100033",NA,"1","processed_pseudogene",NA,NA
"Nabp1","GSM2545344",417,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","109019","nucleic acid binding protein 1, transcript variant X2","ENSMUSG00000026107","4930434H03Rik","1","protein_coding","decreased testis weight","NABP1"
"Gm17767","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100045066","predicted gene, 17767, transcript variant X2","ENSMUSG00000099413",NA,"1","lncRNA",NA,NA
"Myo1b","GSM2545344",775,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","17912","myosin IB, transcript variant 3","ENSMUSG00000018417",NA,"1","protein_coding",NA,"MYO1B"
"Stat4","GSM2545344",6,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","20849","signal transducer and activator of transcription 4, transcript variant X2","ENSMUSG00000062939",NA,"1","protein_coding","abnormal kidney morphology","STAT4"
"Stat1","GSM2545344",1830,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","20846","signal transducer and activator of transcription 1, transcript variant 2","ENSMUSG00000026104","2010005J02Rik","1","protein_coding","abnormal freezing behavior","STAT1"
"Gls","GSM2545344",14703,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","14660","glutaminase, transcript variant 1","ENSMUSG00000026103","B230365M23Rik","1","protein_coding","preweaning lethality complete penetrance","GLS"
"Rps27a-ps1","GSM2545344",1,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","100042094",NA,"ENSMUSG00000101501","Gm3663","1","processed_pseudogene",NA,NA
"Gm28178","GSM2545344",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum","22","102634661","predicted gene 28178","ENSMUSG00000099878",NA,"1","lncRNA",NA,NA
