"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Gm8173","GSM2545337",1,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","666578",NA,"ENSMUSG00000100555",NA,"1","processed_pseudogene",NA,NA
"Dsel","GSM2545337",368,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","319901","dermatan sulfate epimerase-like, transcript variant X1","ENSMUSG00000038702","9330132E09Rik","1","protein_coding","abnormal enzyme/coenzyme activity","DSEL"
"Gm6028","GSM2545337",3,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","547247",NA,"ENSMUSG00000101875",NA,"1","processed_pseudogene",NA,NA
"Nifk","GSM2545337",925,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","67949","nucleolar protein interacting with the FHA domain of MKI67","ENSMUSG00000026377","C130020J04Rik","1","protein_coding","abnormal heart morphology","NIFK"
"Clasp1","GSM2545337",3358,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","76707","CLIP associating protein 1, transcript variant 4","ENSMUSG00000064302","1700030C23Rik","1","protein_coding","abnormal liver morphology","CLASP1"
"Inhbb","GSM2545337",251,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","16324","inhibin beta-B","ENSMUSG00000037035","activin beta-B","1","protein_coding","abnormal eye morphology","INHBB"
"Gm3551","GSM2545337",1,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100041863",NA,"ENSMUSG00000100636",NA,"1","processed_pseudogene",NA,NA
"Gm28209","GSM2545337",3,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","102636940","predicted gene 28209, transcript variant X2","ENSMUSG00000101224",NA,"1","lncRNA",NA,NA
"Cfap221","GSM2545337",10,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","226356","cilia and flagella associated protein 221, transcript variant X1","ENSMUSG00000036962","Gm101","1","protein_coding",NA,"CFAP221"
"Sctr","GSM2545337",5,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","319229","secretin receptor, transcript variant X2","ENSMUSG00000026387","6530402O03Rik","1","protein_coding","abnormal CNS synaptic transmission","SCTR"
"Tmem37","GSM2545337",18,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","170706","transmembrane protein 37","ENSMUSG00000050777","Pr1","1","protein_coding",NA,"TMEM37"
"En1","GSM2545337",225,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","13798","engrailed 1, transcript variant X1","ENSMUSG00000058665","En-1","1","protein_coding","abnormal CNS synaptic transmission","EN1"
"Insig2","GSM2545337",2170,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","72999","insulin induced gene 2, transcript variant X3","ENSMUSG00000003721","2900053I11Rik","1","protein_coding","decreased mean platelet volume","INSIG2"
"Ccdc93","GSM2545337",1483,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","70829","coiled-coil domain containing 93, transcript variant 1","ENSMUSG00000026339","4633402D15Rik","1","protein_coding",NA,"CCDC93"
"Htr5b","GSM2545337",11,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","15564","5-hydroxytryptamine (serotonin) receptor 5B","ENSMUSG00000050534",NA,"1","protein_coding","no abnormal phenotype detected",NA
"Ddx18","GSM2545337",779,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","66942","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18, transcript variant X1","ENSMUSG00000001674","2310005B10Rik","1","protein_coding",NA,"DDX18"
"Actr3","GSM2545337",5866,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","74117","ARP3 actin-related protein 3, transcript variant 3","ENSMUSG00000026341","1200003A09Rik","1","protein_coding","abnormal blastocyst morphology","ACTR3"
"Slc35f5","GSM2545337",638,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","74150","solute carrier family 35, member F5, transcript variant X2","ENSMUSG00000026342","1300003P13Rik","1","protein_coding",NA,"SLC35F5"
"Gpr39","GSM2545337",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","71111","G protein-coupled receptor 39","ENSMUSG00000026343","4933415E13Rik","1","protein_coding","abnormal kidney morphology","GPR39"
"Mgat5","GSM2545337",3799,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","107895","mannoside acetylglucosaminyltransferase 5, transcript variant X2","ENSMUSG00000036155","4930471A21Rik","1","protein_coding","abnormal T cell physiology","MGAT5"
"Gm8451","GSM2545337",21,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","667090","predicted gene 8451","ENSMUSG00000099471",NA,"1","processed_pseudogene",NA,NA
